model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
RandomSurvivalForest_selector_T0,../models_json/larcher_RandomSurvivalForest_selector_T0_914.json,914,cb8ea594-34b5-4386-9a23-ad0450103ba3,25,"['age' 'sex_M' 'bmi' 'cci' 'asa' 'ecog' 'hypertension' 'hb_pre' 'plt_pre'
 'crea_pre' 'gfr_pre' 'lesion_number' 'symptoms' 's_loc' 's_sys' 'pain'
 'haematuria' 'c_size' 'cT' 'cT_4lev' 'cN' 'pos_sup' 'pos_mid' 'pos_inf'
 'pos_full']",-0.8522943361346146,0.8400900900900901,0.8286436932251691,0.036694858531570354,0.8750125489281206
RandomSurvivalForest_selector_T1,../models_json/larcher_RandomSurvivalForest_selector_T1_914.json,914,cb8ea594-34b5-4386-9a23-ad0450103ba3,69,More than 50 features,-0.8924188706350351,0.8811711711711712,0.8679208044768774,0.033315691332092855,0.9090457211567868
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_914.pkl,914,cb8ea594-34b5-4386-9a23-ad0450103ba3,4,['age' 'pT' 'pN_1_0' 'grade'],,0.9013963963963963,0.8948563375506142,0.03181332627075527,0.912378241611107
RandomSurvivalForest_selector_T0,../models_json/larcher_RandomSurvivalForest_selector_T0_775.json,775,fb6d0e43-d380-456d-8da1-de80051bc014,25,"['age' 'sex_M' 'bmi' 'cci' 'asa' 'ecog' 'hypertension' 'hb_pre' 'plt_pre'
 'crea_pre' 'gfr_pre' 'lesion_number' 'symptoms' 's_loc' 's_sys' 'pain'
 'haematuria' 'c_size' 'cT' 'cT_4lev' 'cN' 'pos_sup' 'pos_mid' 'pos_inf'
 'pos_full']",-0.859798097866052,0.823617136659436,0.8171370413939696,0.036163258432133874,0.8424786074899381
RandomSurvivalForest_selector_T1,../models_json/larcher_RandomSurvivalForest_selector_T1_775.json,775,fb6d0e43-d380-456d-8da1-de80051bc014,69,More than 50 features,-0.8963614522240352,0.8693058568329718,0.8641676598853185,0.03232735383017063,0.879323020696541
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_775.pkl,775,fb6d0e43-d380-456d-8da1-de80051bc014,4,['age' 'pT' 'pN_1_0' 'grade'],,0.8445860448300795,0.8342294756195132,0.03009721300178956,0.8664155320300464
RandomSurvivalForest_selector_T0,../models_json/larcher_RandomSurvivalForest_selector_T0_460.json,460,a9e6a088-0428-45d8-95a4-a0c4346f76d8,25,"['age' 'sex_M' 'bmi' 'cci' 'asa' 'ecog' 'hypertension' 'hb_pre' 'plt_pre'
 'crea_pre' 'gfr_pre' 'lesion_number' 'symptoms' 's_loc' 's_sys' 'pain'
 'haematuria' 'c_size' 'cT' 'cT_4lev' 'cN' 'pos_sup' 'pos_mid' 'pos_inf'
 'pos_full']",-0.844093237342365,0.8832222021985944,0.8678777414410987,0.03484101623069245,0.909026139597346
RandomSurvivalForest_selector_T1,../models_json/larcher_RandomSurvivalForest_selector_T1_460.json,460,a9e6a088-0428-45d8-95a4-a0c4346f76d8,69,More than 50 features,-0.883424199513939,0.9020544242205802,0.8870150534399475,0.03009320749597263,0.9220676810382357
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_460.pkl,460,a9e6a088-0428-45d8-95a4-a0c4346f76d8,4,['age' 'pT' 'pN_1_0' 'grade'],,0.8827716705712741,0.8668138798441472,0.026878913743387044,0.909179385070247
RandomSurvivalForest_selector_T0,../models_json/larcher_RandomSurvivalForest_selector_T0_996.json,996,34b8ad91-41d0-428a-bb7f-b10f783787da,25,"['age' 'sex_M' 'bmi' 'cci' 'asa' 'ecog' 'hypertension' 'hb_pre' 'plt_pre'
 'crea_pre' 'gfr_pre' 'lesion_number' 'symptoms' 's_loc' 's_sys' 'pain'
 'haematuria' 'c_size' 'cT' 'cT_4lev' 'cN' 'pos_sup' 'pos_mid' 'pos_inf'
 'pos_full']",-0.8577036902934696,0.8144339197113216,0.8130442670520124,0.03738827332067486,0.8279871670085795
