model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_914.json,914,136690ec-55ab-46b4-beef-22c6ef68009f,106,More than 50 features,-0.8601913234282911,0.834954954954955,0.8260343017171319,0.03675965251871776,0.865921703447164
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_914.json,914,136690ec-55ab-46b4-beef-22c6ef68009f,206,More than 50 features,-0.901263870660322,0.8843243243243243,0.8715715863173481,0.032310988895756274,0.9144539091338151
CoxPHSurvivalAnalysis_grant_finetune_T1,raw_CoxPHSurvivalAnalysis_grant_finetune_T1_914.pkl,914,136690ec-55ab-46b4-beef-22c6ef68009f,4,"['ANM_1_age' 'IST_1_kidney1PathologicalStage2009'
 'IST_1_kidney1PN2009_1_0' 'IST_1_kidney1Grading']",,0.9036936936936937,0.8974289074371863,0.03170931421473351,0.9142447852745743
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_996.json,996,899d7f14-4536-46d7-9b8c-7692c8e392f3,106,More than 50 features,-0.8639465407442024,0.7998195760036085,0.8041719703249198,0.037040795651689475,0.8068112966872164
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_996.json,996,899d7f14-4536-46d7-9b8c-7692c8e392f3,206,More than 50 features,-0.9020471140434824,0.8539467749210645,0.846830139532901,0.035639770204862524,0.8757570284476691
CoxPHSurvivalAnalysis_grant_finetune_T1,raw_CoxPHSurvivalAnalysis_grant_finetune_T1_996.pkl,996,899d7f14-4536-46d7-9b8c-7692c8e392f3,4,"['ANM_1_age' 'IST_1_kidney1PathologicalStage2009'
 'IST_1_kidney1PN2009_1_0' 'IST_1_kidney1Grading']",,0.8266576454668471,0.8250730216382225,0.03389721681089864,0.8299705792888987
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_975.json,975,683ebf5c-d510-4bad-b0b4-0ea389d57b7e,106,More than 50 features,-0.8658341823143761,0.8190894934505817,0.8090103403911825,0.03320719031174489,0.8486170076362964
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_975.json,975,683ebf5c-d510-4bad-b0b4-0ea389d57b7e,206,More than 50 features,-0.9013529387558149,0.8702482366950628,0.8542733511549562,0.028847581225267434,0.9045736127292404
CoxPHSurvivalAnalysis_grant_finetune_T1,raw_CoxPHSurvivalAnalysis_grant_finetune_T1_975.pkl,975,683ebf5c-d510-4bad-b0b4-0ea389d57b7e,4,"['ANM_1_age' 'IST_1_kidney1PathologicalStage2009'
 'IST_1_kidney1PN2009_1_0' 'IST_1_kidney1Grading']",,0.9017129247961895,0.884972205575406,0.02915847899587278,0.9239490405330044
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_968.json,968,370c3ac7-3a8e-4cc0-9a15-44293cc90a02,106,More than 50 features,-0.8629778372070174,0.8128312412831241,0.8030236715110753,0.03278717555445787,0.8350201756566039
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_968.json,968,370c3ac7-3a8e-4cc0-9a15-44293cc90a02,206,More than 50 features,-0.8989954257068712,0.8906555090655509,0.8739523706683486,0.026932135694033757,0.9091485012820292
CoxPHSurvivalAnalysis_grant_finetune_T1,raw_CoxPHSurvivalAnalysis_grant_finetune_T1_968.pkl,968,370c3ac7-3a8e-4cc0-9a15-44293cc90a02,4,"['ANM_1_age' 'IST_1_kidney1PathologicalStage2009'
 'IST_1_kidney1PN2009_1_0' 'IST_1_kidney1Grading']",,0.8730357973035797,0.8515636577276117,0.024409321269706824,0.905039918055063
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_963.json,963,94270f72-8fd1-4c59-9a47-b92f2f1193a2,106,More than 50 features,-0.8647634551233248,0.8153859789063193,0.799548549659272,0.03535831070607998,0.8473836868546726
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_963.json,963,94270f72-8fd1-4c59-9a47-b92f2f1193a2,206,More than 50 features,-0.9094060392588619,0.8402020739165116,0.8098708274443247,0.031458375883579776,0.8917475974389546
CoxPHSurvivalAnalysis_grant_finetune_T1,raw_CoxPHSurvivalAnalysis_grant_finetune_T1_963.pkl,963,94270f72-8fd1-4c59-9a47-b92f2f1193a2,4,"['ANM_1_age' 'IST_1_kidney1PathologicalStage2009'
 'IST_1_kidney1PN2009_1_0' 'IST_1_kidney1Grading']",,0.8585482584419037,0.8454023178845276,0.03073415615857357,0.887202146292817
RandomSurvivalForest_selector_T0,../models_json/raw_RandomSurvivalForest_selector_T0_932.json,932,aa43d957-1db3-460b-975e-1404d76dee30,106,More than 50 features,-0.8526897429678572,0.8716786070554094,0.875873673731493,0.0350071116463627,0.8744780718312661
RandomSurvivalForest_selector_T1,../models_json/raw_RandomSurvivalForest_selector_T1_932.json,932,aa43d957-1db3-460b-975e-1404d76dee30,206,More than 50 features,-0.8910743716707014,0.8941688582570055,0.8970570208268613,0.03178326695018892,0.8983662837123031
