model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
SurvivalTree_T0,raw_SurvivalTree_T0_914.pkl,914,nice_neck_vjjn5n0fl2,10,,-0.8893515764425937,0.7477927927927928,0.726215826882989,0.03917109519651249,0.8025051960658953
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_914.pkl,914,nice_neck_vjjn5n0fl2,13,,-0.9158215010141988,0.7968468468468468,0.7823203195337901,0.03948850020580416,0.8282089944573869
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_914.pkl,914,nice_neck_vjjn5n0fl2,13,,-0.9224137931034483,0.8057657657657658,0.7914148401796978,0.04185633907212486,0.8378508375314417
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_914.pkl,914,nice_neck_vjjn5n0fl2,10,,-0.910873440285205,0.7828828828828829,0.7644696484335102,0.03727550798211367,0.8248955369019914
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_914.pkl,914,nice_neck_vjjn5n0fl2,13,,-0.9185977421271538,0.8314864864864865,0.8214425696454961,0.03655438206452585,0.8651069805793686
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_914.pkl,914,nice_neck_vjjn5n0fl2,7,,-0.9177064765300059,0.7954954954954955,0.7836976056072238,0.04057376320886619,0.8321080620002494
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_914.pkl,914,nice_neck_vjjn5n0fl2,7,,-0.882606490872211,0.7836936936936937,0.7700473110619492,0.038355585608508276,0.81268807103496
SurvivalTree_T1,raw_SurvivalTree_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.9370172311348782,0.7027927927927928,0.6758841284539094,0.03505365090249632,0.7487637412639501
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.9655172413793104,0.8803603603603604,0.8662007526670469,0.03657999912631175,0.9081339658593248
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.9553752535496958,0.8667567567567568,0.8530255724253771,0.034120429821794244,0.8978720665421521
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.9738562091503268,0.8794594594594595,0.8699619244556072,0.03260603991965521,0.8984133882005545
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.970291146761735,0.8624324324324324,0.8483293161044316,0.03364583161515185,0.8954361412192385
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.970291146761735,0.8312162162162162,0.8083323434496997,0.04284735557127858,0.8797549551406241
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_914.pkl,914,nice_neck_vjjn5n0fl2,16,,-0.948306595365419,0.8722072072072072,0.8614463182074915,0.03358833725843863,0.8916111768086955
SurvivalTree_T0,raw_SurvivalTree_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,4,,-0.9010445299615173,0.7764095624718087,0.7782648992876066,0.03831510168494013,0.7870380973987288
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,16,,-0.9224848818031886,0.8442940911141181,0.8337811513042019,0.0378685015210283,0.8589971042801041
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,16,,-0.9241341396371633,0.802616147947677,0.796451944698975,0.03750654394114748,0.8158209194882196
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,10,,-0.9198830409356725,0.7969327920613442,0.797105476695282,0.037938474409871525,0.8003784830308791
SurvivalTree_T0,raw_SurvivalTree_T0_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9102497398543185,0.6741320875698452,0.6800243549564904,0.039260456714748336,0.6752019112612789
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9553924336533032,0.8365851424383989,0.8271794635200758,0.03389941715860607,0.8554079193239363
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,10,,-0.9252336448598131,0.7785295444294091,0.7841350837235995,0.038109542812879066,0.7812073587553068
SurvivalTree_T0,raw_SurvivalTree_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,13,,-0.8412698412698413,0.736639191704334,0.7202669249914043,0.03694414482789253,0.7847536571703201
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,7,,-0.9162422184493492,0.7907471417176283,0.7692818501592533,0.03523793700231146,0.8329402452417187
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_975.pkl,975,bright_zebra_fppb61yf07,16,,-0.9497459062676454,0.8250435101218283,0.8135372819341298,0.033857391977633156,0.847974863613928
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9503105590062112,0.8485847760373729,0.8438163018553413,0.03261260585424658,0.8642510605696693
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,16,,-0.9326542161856254,0.815740494549322,0.7899248483344828,0.03451303983398343,0.856664281243858
SurvivalTree_T0,raw_SurvivalTree_T0_968.pkl,968,heroic_guava_zhbshdybvt,16,,-0.9111436950146627,0.7874476987447698,0.7763473738256519,0.03453568735881454,0.8067811250917588
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_968.pkl,968,heroic_guava_zhbshdybvt,13,,-0.9487028301886793,0.792468619246862,0.7847025975961996,0.03514453977166875,0.8024275001468455
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,10,,-0.9323308270676691,0.80129398209696,0.7860780293068563,0.03638095510283238,0.8343333999859798
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_975.pkl,975,bright_zebra_fppb61yf07,16,,-0.93184421534937,0.8466611706512778,0.8368527275661733,0.032383181531477324,0.8737561268340226
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_968.pkl,968,heroic_guava_zhbshdybvt,13,,-0.9475235849056604,0.7915388191538819,0.7835636626981406,0.038734059288694486,0.802950660535611
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,7,,-0.9340296866410115,0.7958953540820929,0.7957356545112418,0.0423231486378748,0.8046274583705982
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_968.pkl,968,heroic_guava_zhbshdybvt,13,,-0.9133254716981132,0.7878196187819618,0.7825635200977455,0.033359155334663396,0.7950093086750739
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,10,,-0.9253490870032224,0.8051936541699902,0.7925650160533287,0.036933823047850964,0.8310554956607002
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_968.pkl,968,heroic_guava_zhbshdybvt,13,,-0.9047878128400435,0.8174802417480241,0.8109521879030771,0.03308353509730447,0.8323430769637054
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9203839638622248,0.8189062929376202,0.8047559421547893,0.036446388152562924,0.8562331145057209
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_996.pkl,996,magenta_answer_jjlf9n3ywp,16,,-0.9017543859649123,0.7960306720793866,0.7881276071720815,0.03767466022066943,0.8174819931268902
SurvivalTree_T1,raw_SurvivalTree_T1_996.pkl,996,magenta_answer_jjlf9n3ywp,4,,-0.947953216374269,0.7767253044654939,0.7731737646028571,0.036541361453359476,0.7907312838307778
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_996.pkl,996,magenta_answer_jjlf9n3ywp,13,,-0.9576008273009308,0.8400541271989175,0.8235799026437823,0.0364404703810357,0.8703686936431502
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_996.pkl,996,magenta_answer_jjlf9n3ywp,13,,-0.954498448810755,0.8247180875056382,0.8095391040909076,0.04204039463598602,0.8541894730177936
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_996.pkl,996,magenta_answer_jjlf9n3ywp,10,,-0.9567251461988304,0.8104645917907082,0.7968918616819513,0.03498174040117999,0.8375821789509963
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,16,,-0.9020939445387662,0.7719578126384826,0.7498526047095067,0.04601882433270712,0.8085376842181866
SurvivalTree_T0,raw_SurvivalTree_T0_932.pkl,932,ivory_napa_b746ltr763,10,,-0.8928,0.7888364922463045,0.7923841202492717,0.038008712576996964,0.8067453521390623
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_932.pkl,932,ivory_napa_b746ltr763,16,,-0.917910447761194,0.8707717420876031,0.8721942118145102,0.03516303215367901,0.8736531884915733
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_968.pkl,968,heroic_guava_zhbshdybvt,16,,-0.9002849002849003,0.799628079962808,0.7895327419721533,0.0373284215749492,0.8166769743788651
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_932.pkl,932,ivory_napa_b746ltr763,16,,-0.9190585533869116,0.871315861068287,0.8732800197726633,0.03455140295093745,0.8727974536170761
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9342179559570863,0.8076852615187322,0.8035205050455017,0.03504004370732458,0.8238690072978732
SurvivalTree_T1,raw_SurvivalTree_T1_975.pkl,975,bright_zebra_fppb61yf07,4,,-0.9550400916380298,0.8083264633140973,0.7980634139067905,0.02980478697589747,0.8343669174161015
CoxPHSurvivalAnalysis_T1,raw_CoxPHSurvivalAnalysis_T1_975.pkl,975,bright_zebra_fppb61yf07,7,,-0.9633447880870561,0.8854996793991023,0.8676597958024399,0.029316125910921146,0.9202989832751872
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_932.pkl,932,ivory_napa_b746ltr763,16,,-0.8965333333333333,0.8723134125328739,0.8747078015844778,0.034907038336310564,0.8772096568494119
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_975.pkl,975,bright_zebra_fppb61yf07,7,,-0.9617762788083193,0.8859576806815059,0.8712756277715004,0.03744697574867163,0.9124499103656133
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_996.pkl,996,magenta_answer_jjlf9n3ywp,7,,-0.9567251461988304,0.766531348669373,0.7668398819509503,0.039179716157990783,0.7786632425792248
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_975.pkl,975,bright_zebra_fppb61yf07,10,,-0.9621993127147767,0.8788128606760099,0.8620213098593555,0.030516243606155378,0.9144918595796165
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_963.pkl,963,dynamic_plane_l31gp0pdgt,13,,-0.8836038052602126,0.7987237436851901,0.7758176356473359,0.03682870111470403,0.8349362058983318
ComponentwiseGradientBoostingSurvivalAnalysis_T0,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T0_968.pkl,968,heroic_guava_zhbshdybvt,13,,-0.8800117924528302,0.8037656903765691,0.7841446850979136,0.03334123726546439,0.837032589460091
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_932.pkl,932,ivory_napa_b746ltr763,16,,-0.9344,0.8822435839303527,0.8885920323242306,0.03339669167917058,0.8765329033562279
