model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
CoxPHSurvivalAnalysis_ssign_finetune_T1,raw_CoxPHSurvivalAnalysis_ssign_finetune_T1_996.pkl,996,077b60b4-5196-4559-8d92-11d1a26c8177,5,"['ssign_component_pT' 'ssign_component_pN' 'ssign_component_size'
 'ssign_component_grade' 'ssign_component_necrosis']",,0.8223274695534506,0.8158486224726612,0.033556846026045486,0.8405127498626855
CoxPHSurvivalAnalysis_ssign_univariate_T1,raw_CoxPHSurvivalAnalysis_ssign_univariate_T1_996.pkl,996,077b60b4-5196-4559-8d92-11d1a26c8177,1,['ssign_score'],,0.7811005863779883,0.7716506781324655,0.03345009005877279,0.8005905368790583
CoxPHSurvivalAnalysis_ssign_finetune_T1,raw_CoxPHSurvivalAnalysis_ssign_finetune_T1_975.pkl,975,04b67b70-1e03-45c3-8758-40a55f01a538,5,"['ssign_component_pT' 'ssign_component_pN' 'ssign_component_size'
 'ssign_component_grade' 'ssign_component_necrosis']",,0.877164056059357,0.8617922511830302,0.02976300465906624,0.9050846788783363
CoxPHSurvivalAnalysis_ssign_univariate_T1,raw_CoxPHSurvivalAnalysis_ssign_univariate_T1_975.pkl,975,04b67b70-1e03-45c3-8758-40a55f01a538,1,['ssign_score'],,0.8471191719336815,0.8314115130705056,0.03060648527697011,0.8812553314719039
CoxPHSurvivalAnalysis_ssign_finetune_T1,raw_CoxPHSurvivalAnalysis_ssign_finetune_T1_968.pkl,968,27722f24-8c3e-4d8f-a843-9a2c2d9522ab,5,"['ssign_component_pT' 'ssign_component_pN' 'ssign_component_size'
 'ssign_component_grade' 'ssign_component_necrosis']",,0.8967921896792189,0.8804028726751687,0.024192698037229312,0.9253712168731613
CoxPHSurvivalAnalysis_ssign_univariate_T1,raw_CoxPHSurvivalAnalysis_ssign_univariate_T1_968.pkl,968,27722f24-8c3e-4d8f-a843-9a2c2d9522ab,1,['ssign_score'],,0.8727103672710367,0.859609020087094,0.024836254664018363,0.8981970396131633
CoxPHSurvivalAnalysis_ssign_finetune_T1,raw_CoxPHSurvivalAnalysis_ssign_finetune_T1_963.pkl,963,6eaba57c-b0bd-458a-af99-45952c8545c5,5,"['ssign_component_pT' 'ssign_component_pN' 'ssign_component_size'
 'ssign_component_grade' 'ssign_component_necrosis']",,0.8202162545422317,0.7930502134842677,0.03039194593852373,0.8641752813032186
CoxPHSurvivalAnalysis_ssign_univariate_T1,raw_CoxPHSurvivalAnalysis_ssign_univariate_T1_963.pkl,963,6eaba57c-b0bd-458a-af99-45952c8545c5,1,['ssign_score'],,0.7936275813170256,0.7685958189977408,0.031118731910536202,0.8385952406771848
CoxPHSurvivalAnalysis_ssign_finetune_T1,raw_CoxPHSurvivalAnalysis_ssign_finetune_T1_932.pkl,932,2b4fb0c8-6a4d-4932-b36e-cbe1f65615bd,5,"['ssign_component_pT' 'ssign_component_pN' 'ssign_component_size'
 'ssign_component_grade' 'ssign_component_necrosis']",,0.8812913757141562,0.8891498883362642,0.029098650155324046,0.874091838876529
CoxPHSurvivalAnalysis_ssign_univariate_T1,raw_CoxPHSurvivalAnalysis_ssign_univariate_T1_932.pkl,932,2b4fb0c8-6a4d-4932-b36e-cbe1f65615bd,1,['ssign_score'],,0.8340890541398386,0.8410212456937239,0.030056015712272722,0.8337608951941373
